AFR_T,LFR_T,BFR_T,D5_T,D10_T,D50_T,D90_T,AFR_V1,LFR_V1,BFR_V1,D5_V1,D10_V1,D50_V1,D90_V1,AFR_V2,LFR_V2,BFR_V2,D5_V2,D10_V2,D50_V2,D90_V2,AFR_V3,LFR_V3,BFR_V3,D5_V3,D10_V3,D50_V3,D90_V3
3.9581885,13.85366,4.947736,8.686428,12.540187,49.746277,766.55524,2.9686415,11.874566,3.9581885,8.685294,12.53594,49.499912,765.7244,4.947736,9.895472,4.947736,8.668931,12.49001,50.545425,769.14026,4.947736,9.895472,4.947736,8.668931,12.49001,50.545425,769.14026
3.9168353,13.708924,4.896044,8.686299,12.539792,49.743774,766.54736,2.9376266,11.750506,3.9168353,8.685166,12.535548,49.497467,765.7165,4.896044,9.792088,4.896044,8.668801,12.489613,50.542763,769.1327,4.896044,9.792088,4.896044,8.668801,12.489613,50.542763,769.1327
3.8763928,13.567376,4.8454914,8.686232,12.539585,49.74247,766.5433,2.907295,11.62918,3.8763928,8.6851,12.535343,49.49619,765.71234,4.8454914,9.690983,4.8454914,8.668735,12.489405,50.541374,769.1288,4.8454914,9.690983,4.8454914,8.668735,12.489405,50.541374,769.1288
3.837305,13.430569,4.796632,8.686229,12.539575,49.742405,766.54315,2.877979,11.511916,3.837305,8.685096,12.535333,49.496124,765.7122,4.796632,9.593264,4.796632,8.668732,12.489396,50.541313,769.12866,4.796632,9.593264,4.796632,8.668732,12.489396,50.541313,769.12866
3.7999997,13.3,4.75,8.686292,12.539767,49.74362,766.54706,2.8500001,11.400001,3.7999997,8.685158,12.535523,49.497314,765.7161,4.75,9.5,4.75,8.668796,12.489593,50.54263,769.13245,4.75,9.5,4.75,8.668796,12.489593,50.54263,769.13245
3.7648861,13.1771,4.7061076,8.686421,12.540167,49.746147,766.55505,2.8236644,11.294658,3.7648861,8.685287,12.53592,49.499786,765.72424,4.7061076,9.412215,4.7061076,8.668927,12.489999,50.545345,769.14026,4.7061076,9.412215,4.7061076,8.668927,12.489999,50.545345,769.14026
3.732348,13.063217,4.665435,8.68662,12.540775,49.749996,766.56726,2.7992609,11.197043,3.732348,8.685484,12.536524,49.503548,765.7366,4.665435,9.33087,4.665435,8.669127,12.490616,50.549477,769.1521,4.665435,9.33087,4.665435,8.669127,12.490616,50.549477,769.1521
3.702742,12.959598,4.6284275,8.686886,12.541591,49.755154,766.5836,2.7770565,11.108226,3.702742,8.685748,12.537333,49.508595,765.75305,4.6284275,9.256855,4.6284275,8.669395,12.491443,50.55501,769.1679,4.6284275,9.256855,4.6284275,8.669395,12.491443,50.55501,769.1679
3.676393,12.867376,4.5954914,8.687218,12.542608,49.7616,766.604,2.757295,11.02918,3.676393,8.686078,12.538342,49.514896,765.7736,4.5954914,9.190983,4.5954914,8.66973,12.492475,50.56192,769.1876,4.5954914,9.190983,4.5954914,8.66973,12.492475,50.56192,769.1876
3.65359,12.787564,4.5669875,8.687613,12.543821,49.76928,766.62823,2.7401922,10.960769,3.65359,8.68647,12.539546,49.522408,765.7981,4.5669875,9.133974,4.5669875,8.670129,12.493704,50.57015,769.2111,4.5669875,9.133974,4.5669875,8.670129,12.493704,50.57015,769.2111
